tags_collected, collisions_in_seconds, time_in_minutes, random_seed
86, 293.094, 12, 566121
82, 317.891, 12, 568847
104, 334.75, 12, 508187
60, 293.453, 12, 588271
81, 337.406, 12, 526814
82, 339.141, 12, 490945
86, 305.047, 12, 427427
101, 359.312, 12, 344283
72, 282.969, 12, 300801
91, 309.031, 12, 172460
96, 354.109, 12, 133699
92, 328.391, 12, 92199
89, 320.688, 12, 111148
100, 382.922, 12, 82115
61, 267.641, 12, 15889
64, 304.766, 12, 50235
79, 308.234, 12, 79066
105, 332.297, 12, 97611
82, 331.406, 12, 67440
68, 278.609, 12, 42828
76, 330.328, 12, 957468
76, 332.094, 12, 5705
69, 260.844, 12, 29764
73, 319.375, 12, 990461
73, 289.547, 12, 913353
91, 357.312, 12, 834569
102, 370.641, 12, 823686
89, 372.609, 12, 809704
74, 322.391, 12, 790506
75, 281.672, 12, 724529
87, 318.203, 12, 576032
83, 384.75, 12, 439290
99, 363.828, 12, 413897
87, 322.516, 12, 398988
87, 317.422, 12, 372662
88, 341.359, 12, 365627
81, 331.406, 12, 274762
105, 324.031, 12, 255263
75, 312.266, 12, 160299
91, 369.938, 12, 119560
113, 343.688, 12, 210150
123, 368.344, 12, 191537
84, 350.688, 12, 220542
88, 329, 12, 170323
88, 298.438, 12, 140878
85, 330.609, 12, 126257
85, 307.641, 12, 154244
111, 352.859, 12, 117603
78, 343.312, 12, 84970
100, 349.188, 12, 124419
71, 292.156, 12, 8138
74, 318.312, 12, 184251
92, 314.031, 12, 293657
77, 305.125, 12, 293992
73, 902.797, 12, 286909
92, 680.969, 12, 552979
89, 1489.64, 12, 729983
87, 313.984, 12, 287447
86, 353.625, 12, 254608
90, 342.047, 12, 198820
120, 1337.22, 12, 267132
81, 323.078, 12, 626142
74, 252.594, 12, 631970
82, 317.828, 12, 611975
83, 1211.72, 12, 569036
88, 312.578, 12, 936359
77, 324.5, 12, 898325
73, 1106.59, 12, 928543
86, 1310.91, 12, 379643
86, 327.266, 12, 913940
70, 280.328, 12, 933405
79, 322.938, 12, 858749
87, 714.766, 12, 985771
76, 332.844, 12, 327255
71, 294.641, 12, 579651
74, 282.219, 12, 618844
85, 296.641, 12, 33150
82, 1590.95, 12, 125658
104, 402.141, 12, 898263
77, 488.172, 12, 19714
95, 349.062, 12, 198785
86, 284.859, 12, 205905
69, 1341.94, 12, 578966
85, 314.594, 12, 315629
93, 686.094, 12, 320270
91, 352.422, 12, 755672
66, 301.047, 12, 847159
95, 282.781, 12, 879355
90, 339.203, 12, 960224
97, 1910.69, 12, 952294
97, 1453.11, 12, 724763
96, 336.953, 12, 294200
98, 372, 12, 278857
83, 320.125, 12, 289480
78, 295.625, 12, 307515
80, 308.203, 12, 277324
87, 1337.41, 12, 323486
77, 2506.08, 12, 815257
69, 318.359, 12, 879168
91, 1279, 12, 844804
90, 313.812, 12, 163045
74, 323.281, 12, 184510
97, 329.688, 12, 78501
93, 323.594, 12, 196868
89, 354.781, 12, 237608
92, 308.25, 12, 423562
110, 384.281, 12, 431831
92, 1090.11, 12, 639856
94, 358.578, 12, 923076
83, 373.109, 12, 868755
81, 320.844, 12, 754168
95, 321.781, 12, 689998
80, 269.438, 12, 748055
70, 280.844, 12, 712554
109, 337.438, 12, 760446
76, 289.203, 12, 90898
79, 296.281, 12, 28581
77, 327.938, 12, 999305
98, 362.375, 12, 119662
78, 274.922, 12, 110509
76, 324.656, 12, 84627
75, 320.109, 12, 413139
82, 308.484, 12, 467599
91, 1019.92, 12, 579654
74, 316.594, 12, 830181
92, 321.422, 12, 825356
74, 324.156, 12, 861174
85, 329.875, 12, 903228
54, 260.984, 12, 992659
96, 277.141, 12, 149311
103, 336.859, 12, 294093
94, 378.344, 12, 504740
71, 312.25, 12, 275141
78, 333.828, 12, 548250
92, 340.172, 12, 978425
82, 328.5, 12, 209184
72, 279.156, 12, 845859
88, 351.859, 12, 915787
79, 305.688, 12, 136129
92, 346.5, 12, 202000
66, 318.016, 12, 270858
83, 311.109, 12, 353478
68, 320.359, 12, 550345
78, 316.5, 12, 629829
84, 330.875, 12, 811152
90, 344.281, 12, 231005
84, 304.328, 12, 530806
84, 307.828, 12, 537316
85, 343.797, 12, 643788
85, 325.344, 12, 780415
77, 319.016, 12, 404921
99, 666.344, 12, 484274
78, 349.109, 12, 589574
99, 342.906, 12, 536484
71, 305.969, 12, 592396
109, 350.109, 12, 480313
72, 308.203, 12, 447120
66, 298.266, 12, 410531
64, 285.594, 12, 403474
65, 278.891, 12, 301303
87, 335.969, 12, 215824
71, 297.312, 12, 367037
94, 372.516, 12, 447785
95, 358.047, 12, 449409
64, 260.969, 12, 503786
77, 305.875, 12, 474284
72, 279.062, 12, 550851
75, 295.891, 12, 509489
77, 341.047, 12, 505334
67, 303.656, 12, 522010
72, 308.984, 12, 500774
74, 291.625, 12, 430432
81, 303.031, 12, 365449
71, 259.516, 12, 447037
85, 316.031, 12, 368541
104, 353.812, 12, 285722
95, 366, 12, 286119
73, 309.234, 12, 268452
64, 281.172, 12, 222346
84, 293.141, 12, 121974
63, 315.344, 12, 145306
