tags_collected, collisions_in_seconds, time_in_minutes, random_seed
150, 450.562, 12, 574294
148, 519.031, 12, 711750
152, 440.766, 12, 753314
182, 643.297, 12, 925127
138, 446.312, 12, 921858
148, 496.984, 12, 898699
144, 430.031, 12, 919270
156, 570.188, 12, 930994
140, 490.406, 12, 965489
148, 494.969, 12, 82081
139, 417.672, 12, 156925
158, 463.828, 12, 330360
160, 523.703, 12, 413618
143, 409.594, 12, 442132
156, 562.406, 12, 585185
151, 521.781, 12, 692761
164, 495.094, 12, 826373
142, 464.797, 12, 821878
142, 623.672, 12, 967962
149, 460.562, 12, 9581
139, 477.062, 12, 98347
154, 439.578, 12, 226212
151, 466.547, 12, 277705
133, 521.688, 12, 314258
153, 557.625, 12, 301265
154, 510.938, 12, 606327
152, 486.812, 12, 631816
142, 533.641, 12, 646242
160, 509.094, 12, 702860
143, 534.953, 12, 808596
149, 514.969, 12, 797714
165, 556.328, 12, 885154
137, 450.875, 12, 947924
147, 518.906, 12, 953044
144, 454.75, 12, 75757
154, 530.391, 12, 110604
160, 543.781, 12, 246796
153, 521.5, 12, 413420
156, 526.828, 12, 382454
135, 522.266, 12, 448534
133, 465.938, 12, 494683
152, 572.906, 12, 548060
143, 446.297, 12, 627414
138, 455.766, 12, 667208
137, 544.344, 12, 696197
145, 503.469, 12, 713984
140, 493.188, 12, 827239
142, 472.688, 12, 793086
166, 488.797, 12, 787563
157, 493.156, 12, 877958
152, 484.328, 12, 9334
162, 518.406, 12, 203421
93, 2071.06, 12, 419803
156, 449.688, 12, 128280
144, 500.516, 12, 196774
139, 429.547, 12, 305611
127, 1818.98, 12, 469221
153, 512.625, 12, 107589
147, 481.594, 12, 280766
168, 644.359, 12, 380338
152, 520.828, 12, 574348
141, 1211.81, 12, 727532
158, 572.25, 12, 126080
158, 523.094, 12, 314407
132, 487.625, 12, 438495
147, 550.859, 12, 471110
169, 667.906, 12, 620872
63, 2654.69, 12, 894775
146, 498.797, 12, 28422
154, 587.453, 12, 137883
140, 482.484, 12, 252176
143, 462.609, 12, 313005
165, 576.016, 12, 601746
146, 544.969, 12, 926173
75, 2627.88, 12, 369086
149, 523.859, 12, 471517
161, 535.203, 12, 948672
141, 421.234, 12, 320214
87, 1947.47, 12, 514855
136, 539.797, 12, 530613
152, 487.75, 12, 789837
148, 560.906, 12, 189230
138, 450.594, 12, 744373
153, 616.469, 12, 125453
153, 512.25, 12, 557171
172, 589.562, 12, 844662
146, 451.375, 12, 89480
162, 541.328, 12, 777236
141, 475.312, 12, 955317
136, 559.969, 12, 102001
140, 395.469, 12, 299261
144, 457.875, 12, 496103
153, 690.438, 12, 650572
147, 1729.84, 12, 837836
143, 443.641, 12, 531121
153, 459.312, 12, 630409
154, 544.406, 12, 801540
143, 443.781, 12, 73910
136, 1371.03, 12, 222334
146, 450.406, 12, 708973
151, 469.891, 12, 163042
153, 495.75, 12, 242006
149, 558.609, 12, 292962
142, 514.219, 12, 594092
151, 507.953, 12, 822383
154, 527.984, 12, 22289
142, 463.938, 12, 123543
151, 541.547, 12, 379773
139, 444.641, 12, 618744
142, 608.922, 12, 714929
155, 508.969, 12, 945392
166, 526.344, 12, 12474
164, 641.922, 12, 111760
139, 588.688, 12, 265052
142, 473.141, 12, 365102
151, 571.422, 12, 494199
166, 482.703, 12, 528246
146, 579.109, 12, 752365
156, 494.016, 12, 853880
156, 527.812, 12, 994159
146, 451.297, 12, 336342
155, 519.141, 12, 662006
146, 503.797, 12, 826045
149, 437.719, 12, 113869
146, 517.078, 12, 163291
153, 500.766, 12, 273779
149, 526.75, 12, 558708
131, 493.625, 12, 158152
133, 478.328, 12, 779289
146, 530.625, 12, 989137
154, 637.078, 12, 112566
166, 611.812, 12, 595719
149, 560.125, 12, 536004
159, 624.453, 12, 988886
154, 428.266, 12, 522222
158, 488.359, 12, 38080
162, 573.781, 12, 524764
156, 453.688, 12, 964653
156, 488.312, 12, 325915
154, 562.047, 12, 505596
158, 575.953, 12, 520943
152, 465.875, 12, 857716
148, 485.75, 12, 982377
168, 563.688, 12, 202675
135, 519.266, 12, 563474
154, 496.844, 12, 860130
142, 411.766, 12, 977564
167, 594.016, 12, 98268
148, 452.125, 12, 238172
169, 596.891, 12, 370287
135, 421.016, 12, 404999
141, 460.172, 12, 494051
150, 469.234, 12, 513829
147, 511, 12, 558332
141, 468.266, 12, 630100
138, 527.156, 12, 715259
139, 505.422, 12, 854229
145, 455.906, 12, 5171
150, 456.203, 12, 91135
149, 519.344, 12, 56732
145, 488.062, 12, 153208
156, 455.422, 12, 391868
157, 594.797, 12, 611122
140, 448.188, 12, 723543
154, 501.203, 12, 862658
149, 518.188, 12, 951019
157, 574.156, 12, 925673
156, 489.672, 12, 80784
128, 493.953, 12, 143819
148, 519.375, 12, 327840
146, 490.281, 12, 443998
159, 577.906, 12, 524296
171, 585.203, 12, 805842
158, 550.672, 12, 923361
144, 506.422, 12, 998697
151, 492.812, 12, 89277
146, 565.141, 12, 112429
156, 590.5, 12, 220234
146, 538.734, 12, 300121
154, 478.906, 12, 388591
161, 563.891, 12, 428840
164, 552.641, 12, 738241
148, 434.797, 12, 696901
155, 512, 12, 686633
167, 660.906, 12, 709891
137, 515.609, 12, 747952
155, 508.094, 12, 749902
159, 422.219, 12, 782802
139, 595.453, 12, 773175
142, 448.391, 12, 822521
144, 578.391, 12, 944415
157, 556.516, 12, 22238
134, 421.078, 12, 51744
149, 445.125, 12, 115516
145, 553.5, 12, 175009
150, 445, 12, 221836
140, 497.75, 12, 248398
138, 515.438, 12, 283545
138, 538, 12, 345782
149, 463.531, 12, 455366
166, 513.344, 12, 680351
160, 556.344, 12, 851323
175, 533.984, 12, 5493
150, 533.094, 12, 399332
160, 515.219, 12, 680183
163, 593.797, 12, 764535
138, 496.656, 12, 74584
150, 484.875, 12, 241728
156, 477.016, 12, 385570
144, 521.547, 12, 670766
139, 465.172, 12, 973172
163, 470.781, 12, 629297
154, 466.609, 12, 204846
150, 547.234, 12, 558157
153, 473.625, 12, 620899
150, 424.781, 12, 764736
171, 546.359, 12, 827645
160, 589.344, 12, 982943
154, 476.922, 12, 85087
151, 542.016, 12, 163044
140, 445.297, 12, 206968
163, 561.781, 12, 198890
170, 615.703, 12, 284994
156, 501.781, 12, 381749
145, 542, 12, 449370
147, 477.109, 12, 550237
133, 524.609, 12, 591274
159, 533.844, 12, 623315
150, 483.797, 12, 622355
144, 434.844, 12, 718989
151, 514.688, 12, 775512
156, 506.031, 12, 862403
145, 592.875, 12, 927726
170, 588.703, 12, 993746
171, 715.031, 12, 67642
147, 500.094, 12, 184957
167, 539.391, 12, 246599
150, 410.219, 12, 262034
157, 558.25, 12, 289869
161, 582.172, 12, 412140
154, 501.172, 12, 481447
152, 533.562, 12, 544077
149, 472.938, 12, 677259
162, 493.922, 12, 767775
145, 583.109, 12, 871063
162, 490.391, 12, 875616
144, 386.484, 12, 919503
161, 456.109, 12, 853525
153, 490.078, 12, 918379
142, 443.797, 12, 914131
150, 596.688, 12, 952151
162, 540.156, 12, 174809
146, 546.469, 12, 238283
160, 478.641, 12, 233666
176, 584.125, 12, 199416
167, 626.141, 12, 194347
150, 477.781, 12, 200125
159, 529.469, 12, 268344
158, 478.969, 12, 226413
135, 478.141, 12, 237737
149, 567.281, 12, 257862
165, 549.312, 12, 341944
165, 388.266, 12, 331900
154, 486.109, 12, 250812
154, 462.078, 12, 224026
155, 389.812, 12, 291266
151, 560.438, 12, 299710
165, 554.984, 12, 431467
157, 457.047, 12, 417164
163, 532.953, 12, 423233
149, 470.562, 12, 395425
165, 467.734, 12, 379444
151, 408.688, 12, 437927
154, 474.406, 12, 357258
155, 523.266, 12, 316308
146, 438.391, 12, 391403
148, 485.484, 12, 383979
157, 602.812, 12, 398344
154, 461.547, 12, 416222
165, 636.578, 12, 450939
139, 563.281, 12, 440041
164, 505.281, 12, 446998
141, 602.141, 12, 470581
160, 485.156, 12, 470345
149, 482.734, 12, 498478
166, 495.828, 12, 454488
158, 497.375, 12, 514425
145, 487.422, 12, 542416
145, 481.609, 12, 515637
145, 428.75, 12, 486987
160, 630.984, 12, 454104
162, 554.781, 12, 471225
160, 495.312, 12, 487999
164, 515.734, 12, 492650
137, 417.75, 12, 515490
148, 469.328, 12, 441252
142, 464.344, 12, 437039
145, 615.844, 12, 357241
144, 559.922, 12, 363328
154, 480.5, 12, 388483
