tags_collected, collisions_in_seconds, time_in_minutes, random_seed
187, 647.719, 12, 564961
188, 794.125, 12, 711749
193, 758.266, 12, 796756
185, 964.453, 12, 846728
185, 626.609, 12, 944857
182, 669.109, 12, 83365
184, 728.422, 12, 76272
176, 730.719, 12, 130353
184, 785.484, 12, 406282
191, 772.469, 12, 503764
187, 781.781, 12, 586279
186, 846.219, 12, 690372
188, 655.5, 12, 771956
186, 699.125, 12, 799800
181, 714.922, 12, 952485
186, 702.031, 12, 6622
190, 667.781, 12, 995485
185, 699.797, 12, 143769
187, 722.219, 12, 181849
185, 781.844, 12, 233504
189, 830.141, 12, 281569
176, 813.188, 12, 458003
187, 918.531, 12, 599243
183, 812.234, 12, 755380
188, 714.516, 12, 892968
181, 815.938, 12, 914049
183, 781.25, 12, 937443
189, 683.453, 12, 77562
190, 685.281, 12, 132813
182, 891.25, 12, 251143
184, 722.547, 12, 300894
185, 901.469, 12, 347166
182, 611.562, 12, 435005
176, 853.078, 12, 486372
187, 839.344, 12, 599133
194, 612.016, 12, 823343
188, 656.047, 12, 864763
183, 642.953, 12, 929752
183, 741.656, 12, 926834
188, 716.969, 12, 35361
189, 690.984, 12, 160651
181, 667.078, 12, 236358
180, 708.312, 12, 253903
182, 748.953, 12, 368617
191, 622.844, 12, 420246
183, 892.016, 12, 489653
186, 790.516, 12, 598374
189, 765.25, 12, 651786
182, 628.469, 12, 703506
187, 808.141, 12, 734665
186, 874, 12, 8136
192, 702.578, 12, 356397
184, 861.25, 12, 615656
184, 769.594, 12, 943433
186, 693.5, 12, 237178
183, 763.156, 12, 471216
187, 709.75, 12, 747451
177, 782.391, 12, 951264
182, 748.297, 12, 171198
172, 836.625, 12, 415732
179, 901.203, 12, 737901
198, 675.078, 12, 62999
180, 726.688, 12, 305005
193, 707.938, 12, 587522
186, 685.562, 12, 805575
184, 757.562, 12, 992115
187, 698.641, 12, 246159
179, 751.219, 12, 514355
178, 825.359, 12, 812323
191, 686.391, 12, 138837
181, 782.516, 12, 359738
186, 801.328, 12, 605166
177, 664.422, 12, 979938
181, 718.953, 12, 407665
179, 693.953, 12, 781472
174, 744.953, 12, 286520
184, 626.672, 12, 843329
184, 885.625, 12, 424076
184, 772.203, 12, 844321
191, 711.547, 12, 268203
183, 739.203, 12, 587573
172, 896.078, 12, 80528
64, 2857.19, 12, 834240
185, 746.828, 12, 882650
184, 729.953, 12, 294487
184, 753.5, 12, 741889
184, 708.312, 12, 200381
175, 783.719, 12, 759517
189, 646.734, 12, 20917
123, 2044.39, 12, 263645
187, 701.766, 12, 925365
184, 631.875, 12, 252550
177, 725.453, 12, 502221
184, 692.766, 12, 759639
186, 695.391, 12, 169240
184, 659.422, 12, 518827
190, 743.531, 12, 791198
185, 696.312, 12, 37632
188, 838.297, 12, 315733
180, 722.016, 12, 675655
176, 760.797, 12, 166946
181, 727.438, 12, 283356
177, 773.484, 12, 360895
180, 824.781, 12, 562486
185, 796.031, 12, 705889
188, 634.078, 12, 905441
182, 751.609, 12, 986929
188, 793.391, 12, 108201
184, 758.984, 12, 405943
181, 886.672, 12, 583079
187, 670.312, 12, 650788
187, 952.312, 12, 850911
186, 726.625, 12, 102642
178, 811.703, 12, 153493
174, 940.188, 12, 327353
185, 703.859, 12, 592160
186, 775.922, 12, 750330
180, 785.984, 12, 921061
188, 844.703, 12, 270296
187, 642.828, 12, 455590
182, 836.609, 12, 497480
180, 707.688, 12, 897825
174, 673.844, 12, 103071
184, 730.094, 12, 325056
176, 857.734, 12, 489035
185, 695.797, 12, 571896
187, 845.406, 12, 876691
182, 822.391, 12, 758384
184, 758.359, 12, 240689
192, 675.516, 12, 525885
184, 761.312, 12, 810611
185, 765.781, 12, 245055
178, 894.766, 12, 976158
184, 857.953, 12, 336678
183, 766.297, 12, 716890
182, 697.234, 12, 182619
188, 623.422, 12, 717442
181, 747.234, 12, 257221
192, 743.906, 12, 747312
185, 774.109, 12, 923310
182, 831.406, 12, 100857
181, 755.141, 12, 421185
190, 751.516, 12, 719935
181, 748.359, 12, 899115
178, 826.438, 12, 217288
192, 683.875, 12, 634005
176, 872.297, 12, 958301
183, 677.281, 12, 208552
182, 801.75, 12, 498244
185, 723.641, 12, 754749
184, 663.891, 12, 407336
193, 804.328, 12, 527862
180, 937.125, 12, 653187
189, 665.719, 12, 783720
187, 742.531, 12, 826145
182, 716.422, 12, 935794
176, 808.812, 12, 923651
180, 803.516, 12, 991689
175, 783.438, 12, 70558
184, 761.891, 12, 208570
184, 720.234, 12, 344987
187, 717.906, 12, 603831
187, 753.641, 12, 681429
186, 605.5, 12, 827315
185, 731.766, 12, 848129
184, 835.344, 12, 986462
183, 936.172, 12, 192848
180, 723.562, 12, 220602
181, 692.125, 12, 297568
187, 725.438, 12, 363021
191, 639.031, 12, 500412
189, 754.219, 12, 637952
183, 759.938, 12, 868017
189, 585.922, 12, 993812
185, 816.141, 12, 143960
180, 844.453, 12, 173510
173, 905.203, 12, 323559
188, 699.344, 12, 470044
182, 768.141, 12, 569724
181, 731.844, 12, 616818
184, 705.688, 12, 680624
183, 797.859, 12, 831397
182, 849.516, 12, 945712
187, 724.484, 12, 23196
188, 783.625, 12, 50670
188, 828.469, 12, 95725
177, 800.875, 12, 211219
190, 612.922, 12, 279651
181, 813.047, 12, 265722
184, 709.094, 12, 297230
196, 693.547, 12, 328177
189, 655.578, 12, 432679
185, 650.766, 12, 457672
192, 591.828, 12, 461482
193, 683.75, 12, 527077
191, 664, 12, 583167
192, 725.359, 12, 798863
183, 740.875, 12, 819683
184, 786.797, 12, 852786
176, 710.172, 12, 869220
184, 691.922, 12, 674628
183, 615.203, 12, 988953
177, 674.234, 12, 178866
178, 822.469, 12, 824156
186, 740.141, 12, 64568
181, 658.547, 12, 116293
183, 756.812, 12, 426242
179, 897.641, 12, 708797
186, 675.625, 12, 913141
186, 755.828, 12, 298808
178, 668.016, 12, 557498
189, 795.438, 12, 126980
183, 723.812, 12, 704846
180, 777.516, 12, 143022
174, 715.25, 12, 412418
183, 648.203, 12, 488554
183, 707.141, 12, 497508
181, 773.781, 12, 631919
184, 812.422, 12, 687090
186, 640.75, 12, 778691
173, 710.188, 12, 853373
175, 907.109, 12, 992472
171, 849.844, 12, 141968
178, 821.594, 12, 388235
190, 658.766, 12, 545045
185, 647.156, 12, 714602
183, 737.75, 12, 754707
170, 824.719, 12, 783445
175, 701.031, 12, 899927
168, 672.031, 12, 21840
184, 743.797, 12, 119155
188, 703.891, 12, 306141
173, 735.797, 12, 299492
183, 753.719, 12, 361793
177, 785.953, 12, 405392
179, 698.469, 12, 563148
182, 681.062, 12, 593262
181, 632.641, 12, 649068
183, 828.156, 12, 780571
180, 708.766, 12, 982990
183, 699.141, 12, 198322
180, 728.859, 12, 307396
172, 810.031, 12, 433656
